Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         748604 function calls (725758 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.001    0.000    0.054    0.000 __init__.py:330(_compile)
        5    0.001    0.000    0.294    0.059 {method 'join' of 'bytes' objects}
      859    0.001    0.000    0.003    0.000 contextlib.py:303(helper)
     6499    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4953    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5181    0.001    0.000    0.001    0.000 _parser.py:175(append)
     7122    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      256    0.001    0.000    0.293    0.001 _models.py:808(iter_bytes)
     7981    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       30    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1932    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
      603    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
     2561    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
       13    0.001    0.000    0.003    0.000 enum.py:894(_convert_)
      256    0.001    0.000    0.284    0.001 http11.py:181(_receive_response_body)
      260    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      303    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      859    0.001    0.000    0.001    0.000 contextlib.py:136(__enter__)
      263    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      210    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      300    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
     2660    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
     5973    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     5502    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      295    0.001    0.000    1.223    0.004 ssl.py:1129(read)
    268/4    0.001    0.000    0.210    0.052 <frozen importlib._bootstrap>:1349(_find_and_load)
4457/2428    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      256    0.001    0.000    0.286    0.001 _models.py:863(iter_raw)
     2432    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
     9061    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2692    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     2680    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      295    0.001    0.000    1.223    0.004 ssl.py:1278(recv)
      420    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      550    0.001    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
     3334    0.001    0.000    0.001    0.000 _parser.py:292(tell)
 1361/502    0.001    0.000    0.001    0.000 typing.py:1773(__hash__)
      116    0.001    0.000    0.001    0.000 _compiler.py:470(_get_charset_prefix)
      256    0.001    0.000    0.001    0.000 _events.py:299(__init__)
      678    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3787    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
2264/1389    0.001    0.000    0.001    0.000 typing.py:1443(__hash__)
      313    0.001    0.000    0.002    0.000 css_parser.py:999(selector_iter)
    267/4    0.001    0.000    0.210    0.052 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      260    0.000    0.000    0.002    0.000 _state.py:275(process_event)
       24    0.000    0.000    0.006    0.000 dataclasses.py:929(_process_class)
     7992    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
      239    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      180    0.000    0.000    0.003    0.000 _compiler.py:514(_compile_info)
     4243    0.000    0.000    0.001    0.000 element.py:2057(descendants)
      210    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     4102    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
     1009    0.000    0.000    0.001    0.000 _parser.py:311(_class_escape)
      259    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      298    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
     3230    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     1366    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
     2963    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      261    0.000    0.000    0.001    0.000 _connection.py:330(_respond_to_state_changes)
     3208    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      180    0.000    0.000    0.052    0.000 _compiler.py:743(compile)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    239/4    0.000    0.000    0.209    0.052 <frozen importlib._bootstrap>:911(_load_unlocked)
     2670    0.000    0.000    0.001    0.000 element.py:2198(_normalize_search_value)
      210    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       30    0.000    0.000    0.497    0.017 __init__.py:1(<module>)
    45/14    0.000    0.000    0.008    0.001 css_parser.py:847(parse_selectors)
     1702    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
       14    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
      329    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
     2816    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2767    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     3230    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      743    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
